label,tau_s,legacy,uniform,median,invvar,invvar_trim,n_eff,max_w,disp_w,n_used_invvar
타원[flank] W10 d30,0.0,86.499,3.114,2.499,5.167,5.167,1.335,0.864,32.726,1.0
타원[flank] W10 d30,11.0,80.262,4.118,1.405,3.966,3.966,1.587,0.79,40.065,1.0
타원[flank] W10 d30,78.5,76.769,6.282,1.791,1.791,1.791,1.74,0.75,43.943,1.0
타원[flank] W10 d60,0.0,85.047,84.897,84.897,,,1.044,0.979,11.861,0.0
타원[flank] W10 d60,11.0,85.039,84.898,84.897,,,1.045,0.978,11.976,0.0
타원[flank] W10 d60,78.5,85.013,84.898,84.897,,,1.042,0.979,11.691,0.0
타원[flank] W10 d120,0.0,81.745,81.679,81.679,,,1.037,0.982,10.912,0.0
타원[flank] W10 d120,11.0,81.74,81.679,81.679,,,1.036,0.982,10.777,0.0
타원[flank] W10 d120,78.5,81.734,81.679,81.679,,,1.035,0.983,10.634,0.0
타원[head] W10 d30,0.0,1.126,0.68,2.296,2.868,2.868,12.964,0.083,15.569,12.0
타원[head] W10 d30,11.0,0.437,0.048,1.549,2.68,2.68,12.957,0.084,16.8,12.0
타원[head] W10 d30,78.5,0.356,0.142,1.549,3.258,3.258,12.956,0.084,16.931,12.0
타원[head] W10 d60,0.0,0.298,0.144,1.557,0.876,0.876,12.986,0.08,10.749,12.0
타원[head] W10 d60,11.0,0.122,0.231,1.156,1.743,1.743,12.985,0.081,11.253,12.0
타원[head] W10 d60,78.5,0.074,0.217,1.156,0.908,0.908,12.984,0.08,11.381,12.0
타원[head] W10 d120,0.0,0.071,0.12,0.851,0.351,0.351,12.995,0.079,6.485,12.0
타원[head] W10 d120,11.0,0.185,0.201,0.814,1.079,1.079,12.994,0.079,6.824,12.0
타원[head] W10 d120,78.5,0.256,0.289,0.653,0.43,0.43,12.995,0.079,6.666,12.0
타원[head] W20 d30,0.0,2.165,2.977,4.364,4.487,4.487,10.945,0.106,14.659,9.0
타원[head] W20 d30,11.0,0.723,1.072,0.433,3.531,3.531,10.964,0.1,20.479,8.0
타원[head] W20 d30,78.5,2.751,2.128,0.03,10.503,10.503,13.929,0.077,27.056,10.0
타원[head] W20 d60,0.0,3.388,2.733,4.978,8.241,8.241,12.953,0.083,18.758,11.0
타원[head] W20 d60,11.0,0.509,0.967,2.356,1.621,1.621,10.964,0.098,15.89,10.0
타원[head] W20 d60,78.5,0.579,0.611,2.948,1.577,1.577,10.961,0.099,15.777,10.0
타원[head] W20 d120,0.0,1.435,1.044,2.812,2.236,2.236,12.973,0.081,13.473,12.0
타원[head] W20 d120,11.0,0.954,0.38,2.212,1.135,1.135,12.96,0.083,14.871,12.0
타원[head] W20 d120,78.5,0.638,0.007,2.012,1.801,1.801,12.956,0.083,15.303,12.0
타원[head] W30 d30,0.0,27.95,25.956,25.159,16.408,16.408,11.758,0.124,59.757,9.0
타원[head] W30 d30,11.0,11.538,14.368,18.688,18.852,18.852,12.229,0.133,54.076,10.0
타원[head] W30 d30,78.5,0.168,3.477,5.795,37.285,37.285,9.665,0.148,24.63,7.0
타원[head] W30 d60,0.0,12.997,12.331,11.238,18.666,18.666,13.489,0.103,22.154,10.0
타원[head] W30 d60,11.0,3.287,5.588,13.549,13.7,13.7,10.71,0.199,35.688,9.0
타원[head] W30 d60,78.5,3.217,1.771,7.342,13.15,13.15,10.425,0.153,41.342,9.0
타원[head] W30 d120,0.0,1.619,1.635,2.779,3.975,3.975,10.97,0.1,11.181,10.0
타원[head] W30 d120,11.0,1.012,1.1,0.632,0.045,0.045,10.975,0.097,17.872,8.0
타원[head] W30 d120,78.5,1.611,1.597,0.929,3.433,3.433,11.925,0.098,20.697,8.0
타원[head] W50 d30,0.0,21.006,25.623,26.997,28.501,28.501,3.583,0.427,12.398,3.0
타원[head] W50 d30,11.0,12.459,11.795,12.897,7.761,7.761,9.216,0.138,29.945,7.0
타원[head] W50 d30,78.5,17.583,21.664,9.506,9.561,9.561,6.493,0.286,59.042,6.0
타원[head] W50 d60,0.0,105.697,88.539,95.658,93.881,93.881,5.941,0.257,101.17,2.0
타원[head] W50 d60,11.0,43.01,28.454,9.846,31.986,31.986,7.97,0.201,104.462,4.0
타원[head] W50 d60,78.5,28.513,24.925,52.455,42.417,42.417,8.434,0.138,37.822,7.0
타원[head] W50 d120,0.0,45.733,32.901,43.048,25.405,25.405,9.483,0.158,108.699,6.0
타원[head] W50 d120,11.0,95.402,61.047,39.666,10.993,10.993,8.76,0.206,79.539,7.0
타원[head] W50 d120,78.5,2.924,1.196,5.89,4.287,4.287,9.746,0.126,37.22,8.0
straight_S1,0.0,2.115,1.737,0.362,0.028,0.028,12.69,0.1,2.989,9.0
straight_S1,11.0,0.381,0.352,0.129,0.112,0.112,12.956,0.085,0.616,10.0
straight_S1,78.5,0.345,0.321,0.129,0.146,0.146,12.943,0.086,0.579,11.0
curved_S2a10,0.0,4.756,4.784,4.785,5.483,5.483,12.561,0.103,6.914,12.2
curved_S2a10,11.0,2.867,2.753,2.993,3.595,3.595,13.131,0.094,4.409,12.133
curved_S2a10,78.5,2.334,2.15,2.092,2.806,2.806,13.023,0.089,3.616,12.533
curved_S2a20,0.0,9.185,8.121,8.328,13.434,13.434,11.541,0.126,15.162,10.867
curved_S2a20,11.0,12.029,5.878,5.782,7.631,7.631,11.62,0.151,13.107,10.933
curved_S2a20,78.5,3.61,3.161,2.731,3.609,3.609,12.784,0.098,6.544,12.2
