label,tau_s,n_q,n_p1,n_p1g,n_p2,lost_pct,mae_p1,mae_p1g,mae_p2,diff_mae,diff_p95
타원[flank] W10 d30,0.0,1230,1230,900,1230,26.83,105.206,128.673,104.964,0.242,0.507
타원[flank] W10 d30,11.0,1230,1230,930,1230,24.39,109.355,133.82,109.104,0.251,0.541
타원[flank] W10 d30,78.5,1290,1290,960,1290,25.58,114.991,144.882,114.903,0.088,0.55
타원[flank] W10 d60,0.0,1080,1080,0,1080,100.0,1293.532,,1013.706,293.601,1416.465
타원[flank] W10 d60,11.0,1110,1110,0,1110,100.0,1449.858,,1143.377,318.089,1573.917
타원[flank] W10 d60,78.5,1110,1110,0,1110,100.0,1822.882,,1385.719,447.366,1963.654
타원[flank] W10 d120,0.0,1080,1080,0,1080,100.0,4739.972,,3562.848,1177.124,4904.294
타원[flank] W10 d120,11.0,1110,1110,0,1110,100.0,5019.179,,3807.654,1211.524,5183.896
타원[flank] W10 d120,78.5,1080,1080,0,1080,100.0,5674.634,,4424.301,1250.333,5846.067
타원[head] W10 d30,0.0,450,450,360,450,20.0,7.25,6.023,4.746,2.543,8.21
타원[head] W10 d30,11.0,450,450,360,450,20.0,4.188,2.789,2.458,2.577,10.148
타원[head] W10 d30,78.5,480,480,390,480,18.75,12.684,14.273,16.685,4.191,13.121
타원[head] W10 d60,0.0,450,450,360,450,20.0,5.854,5.912,4.84,1.015,2.125
타원[head] W10 d60,11.0,480,480,360,480,25.0,2.603,2.024,1.69,1.435,4.314
타원[head] W10 d60,78.5,450,450,360,450,20.0,13.697,13.8,15.699,2.002,5.639
타원[head] W10 d120,0.0,450,450,390,450,13.33,5.933,5.865,5.532,0.487,1.48
타원[head] W10 d120,11.0,480,480,390,480,18.75,1.555,1.83,1.013,0.63,1.942
타원[head] W10 d120,78.5,450,450,390,450,13.33,14.266,14.466,14.904,0.766,1.96
타원[head] W20 d30,0.0,510,510,420,510,17.65,7.38,5.998,7.09,1.854,7.605
타원[head] W20 d30,11.0,510,510,420,510,17.65,5.574,2.505,2.53,3.584,10.332
타원[head] W20 d30,78.5,630,630,510,630,19.05,11.995,13.058,15.554,6.655,17.35
타원[head] W20 d60,0.0,480,480,390,480,18.75,6.888,5.727,4.762,2.151,7.285
타원[head] W20 d60,11.0,480,480,390,480,18.75,4.878,2.557,2.82,3.456,9.861
타원[head] W20 d60,78.5,510,510,420,510,17.65,13.162,15.784,17.63,4.706,13.984
타원[head] W20 d120,0.0,450,450,360,450,20.0,6.317,6.132,4.869,1.448,5.591
타원[head] W20 d120,11.0,480,480,360,480,25.0,3.256,2.063,2.016,2.074,7.031
타원[head] W20 d120,78.5,480,480,390,480,18.75,13.557,14.804,16.723,3.166,9.626
타원[head] W30 d30,0.0,990,990,840,990,15.15,25.116,17.199,24.127,12.233,43.077
타원[head] W30 d30,11.0,1080,1080,960,1080,11.11,13.287,10.424,8.487,12.269,33.196
타원[head] W30 d30,78.5,1470,1470,1380,1470,6.12,7.016,11.825,6.973,2.858,12.669
타원[head] W30 d60,0.0,630,630,510,630,19.05,11.978,8.281,12.698,4.51,13.841
타원[head] W30 d60,11.0,720,720,630,720,12.5,4.116,4.256,2.716,3.133,9.385
타원[head] W30 d60,78.5,960,960,870,960,9.38,12.851,15.413,13.688,8.894,16.236
타원[head] W30 d120,0.0,480,480,390,480,18.75,6.913,5.309,5.625,1.723,8.03
타원[head] W30 d120,11.0,540,540,420,540,22.22,4.833,2.503,2.805,2.354,9.002
타원[head] W30 d120,78.5,600,600,510,600,15.0,11.27,15.035,15.334,5.855,15.057
타원[head] W50 d30,0.0,4050,4050,4050,4050,0.0,38.187,70.431,47.701,9.554,18.481
타원[head] W50 d30,11.0,4140,4140,4110,4140,0.72,37.538,29.332,37.473,2.159,7.015
타원[head] W50 d30,78.5,5130,5130,4950,5130,3.51,17.802,17.385,17.752,0.05,0.0
타원[head] W50 d60,0.0,2490,2490,2400,2490,3.61,29.644,57.667,29.344,0.314,2.233
타원[head] W50 d60,11.0,2820,2820,2550,2820,9.57,31.906,172.321,28.925,4.12,17.935
타원[head] W50 d60,78.5,3570,3570,3540,3570,0.84,27.661,28.978,46.289,64.054,113.534
타원[head] W50 d120,0.0,1530,1530,1500,1530,1.96,31.544,81.536,37.558,6.159,14.219
타원[head] W50 d120,11.0,1650,1650,1560,1650,5.45,66.487,68.54,74.742,8.256,15.626
타원[head] W50 d120,78.5,2310,2310,2220,2310,3.9,16.042,11.389,10.069,22.149,40.077
straight_S1,0.0,480,480,450,480,6.25,14.409,12.623,15.569,1.205,6.341
straight_S1,11.0,450,450,420,450,6.67,4.528,4.147,5.513,0.985,3.036
straight_S1,78.5,450,450,450,450,0.0,9.525,9.156,7.776,1.751,4.838
curved_S2a10,0.0,495,495,438,495,11.52,18.884,16.602,20.2,4.132,15.173
curved_S2a10,11.0,477,477,414,477,13.21,8.94,7.26,8.582,3.461,12.456
curved_S2a10,78.5,468,468,405,468,13.46,9.095,8.225,6.456,3.66,14.836
curved_S2a20,0.0,519,519,486,519,6.36,23.583,22.192,23.658,4.074,14.188
curved_S2a20,11.0,537,537,453,537,15.64,15.496,12.48,14.277,4.35,14.598
curved_S2a20,78.5,501,501,438,501,12.57,11.676,10.77,8.08,5.812,22.189
