front,tau_s,mode,dir_err,eta_mae,n_pernode
straight_S1,0.0,uniform,2.1152,14.4087,7.56
straight_S1,0.0,jitter,2.1152,14.4087,7.56
straight_S1,11.0,uniform,0.3813,4.5279,7.73
straight_S1,11.0,jitter,2.0756,10.7139,7.82
straight_S1,30.0,uniform,0.1678,3.6553,7.73
straight_S1,30.0,jitter,7.7643,20.9301,7.72
straight_S1,78.5,uniform,0.3453,9.5249,7.87
straight_S1,78.5,jitter,67.7092,45.4774,6.77
curved_S2a10,0.0,uniform,4.7572,19.2324,7.35
curved_S2a10,0.0,jitter,4.7572,19.2324,7.35
curved_S2a10,11.0,uniform,4.396,8.9137,7.59
curved_S2a10,11.0,jitter,4.7733,13.2756,7.78
curved_S2a10,30.0,uniform,4.3202,6.5325,7.6
curved_S2a10,30.0,jitter,10.371,21.739,7.76
curved_S2a10,78.5,uniform,4.274,8.945,7.52
curved_S2a10,78.5,jitter,66.7211,47.4919,6.69
curved_S2a20,0.0,uniform,10.5806,24.4394,7.63
curved_S2a20,0.0,jitter,10.5806,24.4394,7.63
curved_S2a20,11.0,uniform,12.5708,16.3307,7.38
curved_S2a20,11.0,jitter,11.9988,18.4994,7.75
curved_S2a20,30.0,uniform,8.724,11.0087,7.43
curved_S2a20,30.0,jitter,17.5576,23.2638,7.81
curved_S2a20,78.5,uniform,7.9723,11.4499,7.51
curved_S2a20,78.5,jitter,66.2682,46.3001,6.64
