label,group,tau_s,n_U,n_S,n_D,n_all,S_e_pre,S_e_post,D_e_pre,S_d_pre,S_d_post,all_e,all_d,corr_err_dist,U_maxdiff
타원[flank] W10 d30,flank,0.0,0,900,330,1230,110.7762,128.6728,90.0152,137.2433,148.6296,105.2062,131.5868,0.9851,0.0
타원[flank] W10 d30,flank,11.0,0,930,300,1230,114.6393,133.8205,92.9742,146.4442,157.9244,109.3551,141.4603,0.9844,0.0
타원[flank] W10 d30,flank,78.5,0,960,330,1290,120.8508,144.8822,97.9447,170.0029,181.7476,114.9911,164.2782,0.9865,0.0
타원[flank] W10 d60,flank,0.0,0,0,1080,1080,,,1293.5321,,,1293.5321,212.2747,0.9999,0.0
타원[flank] W10 d60,flank,11.0,0,0,1110,1110,,,1449.858,,,1449.858,222.8187,1.0,0.0
타원[flank] W10 d60,flank,78.5,0,0,1110,1110,,,1822.8816,,,1822.8816,245.5248,1.0,0.0
타원[flank] W10 d120,flank,0.0,0,0,1080,1080,,,4739.9721,,,4739.9721,350.0199,1.0,0.0
타원[flank] W10 d120,flank,11.0,0,0,1110,1110,,,5019.1787,,,5019.1787,360.4257,1.0,0.0
타원[flank] W10 d120,flank,78.5,0,0,1080,1080,,,5674.6338,,,5674.6338,383.4812,1.0,0.0
타원[head] W10 d30,head,0.0,180,180,90,450,10.1848,5.2264,2.2421,61.0978,65.3319,7.25,61.3102,0.1674,0.0
타원[head] W10 d30,head,11.0,210,150,90,450,5.8904,4.013,6.6544,69.1047,73.099,4.1878,69.1735,0.4657,0.0
타원[head] W10 d30,head,78.5,210,180,90,480,7.2395,16.12,23.5601,90.8169,95.2806,12.6843,91.0677,-0.0152,0.0
타원[head] W10 d60,head,0.0,270,90,90,450,6.1993,3.3045,2.7289,61.7933,64.8026,5.8542,61.1294,-0.1082,0.0
타원[head] W10 d60,head,11.0,300,60,120,480,5.0003,2.9144,3.2958,69.6907,73.0318,2.6028,68.9772,0.44,0.0
타원[head] W10 d60,head,78.5,270,90,90,450,10.8652,16.9341,19.3562,90.8222,94.9401,13.6975,91.1654,0.0144,0.0
타원[head] W10 d120,head,0.0,310,80,60,450,4.4672,2.9792,4.3913,65.6533,68.7376,5.9329,60.9846,-0.2166,0.0
타원[head] W10 d120,head,11.0,300,90,90,480,1.513,2.5844,1.4345,69.5634,72.8292,1.5551,68.7979,0.6061,0.0
타원[head] W10 d120,head,78.5,300,90,60,450,16.1893,18.536,16.4873,91.2284,94.3458,14.2657,90.7371,0.1529,0.0
타원[head] W20 d30,head,0.0,210,210,90,510,9.8659,6.623,6.2636,61.1999,65.5564,7.3803,61.2192,0.1321,0.0
타원[head] W20 d30,head,11.0,180,240,90,510,8.3588,3.3937,6.6544,69.7493,74.5184,5.5739,69.8636,0.5021,0.0
타원[head] W20 d30,head,78.5,150,360,120,630,5.9454,12.4541,27.0041,91.5676,96.4516,11.9954,91.6605,0.0834,0.0
타원[head] W20 d60,head,0.0,210,180,90,480,9.9847,5.1338,2.2173,61.0978,65.3319,6.8878,61.2155,0.0798,0.0
타원[head] W20 d60,head,11.0,210,180,90,480,7.9726,3.8322,6.6544,69.3984,73.8516,4.8782,69.5595,0.4302,0.0
타원[head] W20 d60,head,78.5,180,240,90,510,8.6586,17.3322,24.0567,91.3657,95.8513,13.1622,91.1294,0.0071,0.0
타원[head] W20 d120,head,0.0,240,120,90,450,8.6109,5.1037,2.3822,61.05,65.0126,6.3171,61.3102,-0.0223,0.0
타원[head] W20 d120,head,11.0,240,120,120,480,5.7841,3.3024,4.3557,69.2144,73.1546,3.2565,68.9772,0.426,0.0
타원[head] W20 d120,head,78.5,240,150,90,480,9.5301,17.0654,20.7131,90.9292,95.2733,13.5571,91.0677,-0.0035,0.0
타원[head] W30 d30,head,0.0,510,330,150,990,23.3551,15.4137,51.9845,58.1654,61.7935,25.1164,60.9293,0.4766,0.0
타원[head] W30 d30,head,11.0,630,330,120,1080,8.2273,5.0906,27.5695,67.7984,71.789,13.2873,71.9692,0.6345,0.0
타원[head] W30 d30,head,78.5,90,1290,90,1470,6.5343,12.3903,17.2104,105.9312,111.3869,7.0161,104.0982,-0.1903,0.0
타원[head] W30 d60,head,0.0,240,270,120,630,11.042,7.6228,19.9997,60.1689,64.2621,11.9782,60.3076,0.3036,0.0
타원[head] W30 d60,head,11.0,270,360,90,720,4.8754,4.8785,3.1479,68.5685,73.1347,4.1157,69.1343,0.4778,0.0
타원[head] W30 d60,head,78.5,420,450,90,960,6.4709,13.2479,21.9726,91.5354,96.5299,12.851,94.5556,0.1739,0.0
타원[head] W30 d120,head,0.0,180,210,90,480,8.9862,5.3242,5.3165,61.0259,65.0427,6.9128,61.046,0.0461,0.0
타원[head] W30 d120,head,11.0,210,210,120,540,8.1317,3.8653,5.5194,69.5967,74.1393,4.8326,69.4474,0.442,0.0
타원[head] W30 d120,head,78.5,180,330,90,600,5.8983,15.3393,24.5534,91.123,96.0125,11.2701,91.2098,-0.0074,0.0
타원[head] W50 d30,head,0.0,610,3440,0,4050,36.6768,74.6386,,123.4744,128.6196,38.1872,110.0563,0.5051,0.0
타원[head] W50 d30,head,11.0,340,3770,30,4140,38.5786,29.5929,32.4931,130.264,135.3372,37.5375,122.7792,0.9231,0.0
타원[head] W50 d30,head,78.5,4920,30,180,5130,2.7411,62.88,39.2925,82.1317,99.2467,17.8022,185.2944,0.2529,0.0
타원[head] W50 d60,head,0.0,60,2340,90,2490,29.4663,58.1864,29.0824,84.9442,92.9725,29.6438,81.9386,0.1178,0.0
타원[head] W50 d60,head,11.0,300,2250,270,2820,23.5596,183.2822,36.7814,100.3389,105.9034,31.9058,90.7278,-0.013,0.0
타원[head] W50 d60,head,78.5,480,3060,30,3570,26.4647,28.119,41.0379,157.272,162.4622,27.6615,147.2661,-0.0131,0.0
타원[head] W50 d120,head,0.0,330,1170,30,1530,20.1268,84.6409,48.0066,68.483,73.6446,31.5444,64.7481,0.1127,0.0
타원[head] W50 d120,head,11.0,1230,330,90,1650,19.9623,33.0313,78.8183,59.6414,64.3842,66.4865,79.9579,0.8159,0.0
타원[head] W50 d120,head,78.5,390,1830,90,2310,16.6459,10.8309,12.5545,128.1041,133.4203,16.0415,120.1377,0.6177,0.0
